household_id,cluster,mae,actual_mean,predicted_mean
149671,1,1.4823759217238632,3.383338797814208,4.131142758914003
149677,1,1.6203847483191267,3.555226775956284,4.825698041457088
149703,1,1.5798889444975386,3.372243169398907,4.748158536226738
149715,1,2.653698580658579,6.211666666666668,7.8062881415019785
149717,1,5.580466002594613,8.189792349726776,4.11279798715648
149739,1,1.473135466895556,2.6598961748633876,3.762031868790175
149784,1,3.6301947573555595,7.088975409836064,4.786531696303717
149790,1,2.461269490414387,8.129396174863388,9.720646236493309
149802,1,0.5691389774699251,2.927642076502732,2.811417741645277
149815,1,1.972035544732864,4.792836065573771,6.014358325427817
149820,1,2.320825359825592,8.319500000000001,9.553691525118671
149868,1,1.5920363330410647,5.82634699453552,5.931893462302591
149882,1,2.7190040842547507,11.02764480874317,12.589847402767788
149883,1,5.849887093496536,3.6191502732240437,7.014144004019019
149905,1,5.806756568819003,13.845147540983607,13.35340392154283
149913,1,2.7317085063669277,10.15089344262295,10.069500804522752
149947,1,5.028028368002905,4.71320218579235,9.513324929961458
149972,1,2.863674638655981,6.2316775956284145,4.533656153992559
149980,1,1.612543253343125,10.193363387978142,9.607475788286937
149983,1,1.5363269207804926,11.802549180327869,12.10316659964216
150007,1,1.8225927338066177,3.647092896174863,4.155111240783639
150019,3,7.22519253051581,10.671150273224045,15.37088687792273
150023,3,9.177112448336908,19.671218579234974,22.45108075917185
150118,1,2.219504750595851,8.40104644808743,9.446706729762411
150123,1,6.833347606688823,4.840256830601093,9.697469000481052
150149,1,3.380105410881113,8.225360655737704,11.164034859941252
150159,1,3.5022148189050775,10.006745901639345,9.458310010424778
150163,3,42.066901969101714,85.94696994535519,46.172016834776606
150180,1,2.336674483945609,5.8172868852459025,6.794924785286418
150200,1,2.7819271151353058,10.440811475409836,11.141831299670697
150282,1,2.5956343916640368,9.674918032786884,9.724437177403113
150298,1,2.3522511820387004,5.508647540983606,7.26060307873803
150338,1,1.605784232971209,6.663721213114754,8.166967468446458
150363,1,0.506639177728804,1.3639644808743168,1.406684090875554
150384,3,6.2586602006550205,23.20926775956284,18.888309039336427
150397,1,2.489701962390989,6.273081967213115,5.8419912075947265
150459,1,10.974167590329605,14.684628415300548,15.877704820882464
150480,1,4.00876127717111,8.1449043715847,10.00905693404634
150490,1,8.894919644435362,12.905896174863388,17.903977499122508
150550,1,0.8657712757595936,2.911565573770492,2.6203622744307054
150555,1,0.9412726706206807,3.7146693989071036,2.796925394845191
150563,1,5.378660551897293,8.588497267759562,11.523160666933471
150616,3,18.07202448402613,47.734150273224046,47.77600009198865
150619,1,4.720180181360393,12.048497267759563,15.17360452966511
150686,1,3.0464349129554753,11.84203005464481,9.67888416402306
150688,1,2.2634418919206865,5.610672128415301,5.837850992822023
150710,1,1.435941388415467,5.7199754098360645,6.797554705738677
150723,1,6.080159224906837,10.598838797814208,15.265657626713898
150724,1,3.4908106933906824,12.902961748633881,9.919375764070445
150740,1,5.405831986999318,12.931005464480876,17.921312728304915
150763,1,6.8026179114807634,7.866617486338797,13.369936070048125
150769,1,2.9229764617760567,14.5462131147541,15.273237437867913
150782,1,2.5246436099199476,4.312021857923496,1.9927712983104762
150783,1,1.749139158658378,6.536229508196721,7.007671041399301
150784,1,1.8998237230441,7.228551912568307,7.729113894272284
150821,1,5.517246370224718,2.48001912568306,7.837688230827475
150828,1,11.442750488744032,14.373308743169398,2.972679843579689
150841,1,2.7203338889192294,7.8706912568306,9.479518950884371
150865,1,2.1053171046272894,5.384497267759563,7.265490022933269
150866,3,51.03827998120181,41.92921857923497,77.69417100691103
150870,1,1.3915899448654454,3.47296174863388,2.8484693441264053
150874,1,7.628182265707651,6.141896166666667,6.02397048475497
150931,1,4.386090569243491,9.613737704918034,5.304473771153621
150942,1,1.3139549617595405,3.6349672131147543,4.094459555227263
150961,1,3.732117001483528,4.659245901639345,1.402445923708447
150984,1,3.1893046425283447,10.3244043715847,10.027576451196575
151030,1,1.494754023156046,6.856576502732239,6.7964813406204785
151124,1,4.146295303263618,6.754713959016394,2.608418655752776
151140,1,5.300809478458469,10.008183060109289,14.86374815658614
151147,1,0.2979374641130678,2.5267704918032785,2.6201912184808935
151171,1,3.0903391047251985,10.690989071038251,8.83890431984427
151221,1,2.705301555146465,5.75072131147541,4.903432474187498
151246,1,4.980169631324092,2.6773715846994537,7.326756558460833
151249,3,5.288193456820415,14.877117486338797,15.97320717189961
151295,1,1.7094775627039185,2.9868797814207646,3.7851497784520323
151296,1,1.8171862279113769,9.33688524590164,9.651853696744544
151302,1,8.346580403702884,10.228819672131149,9.889123718941406
151320,1,1.9592010076964892,4.312142076502733,6.00779864464307
151362,3,33.96737179479172,47.68033606557376,75.93086432064054
151366,1,1.4195418833128024,5.192893442622951,5.332376633857107
