household_id,cluster,mae
4858,2,12.354788580499987
4918,2,13.406091148837668
4953,0,5.611282999229699
4969,0,1.6579785518266132
4989,0,4.393101084496816
5011,0,8.112500695441494
5027,0,5.113928248288275
5029,0,4.17639540569512
5033,2,3.37844294652284
5036,0,7.0586442560141505
5061,0,3.713164665658884
5062,2,6.487941580120767
5119,0,4.662041602947
5168,0,4.190185176010454
5173,0,5.149207387050802
5202,2,10.927340553324862
5205,0,5.328641140174937
5228,0,5.494411492731672
5238,2,5.262680698839618
5243,0,5.279139490446773
5259,0,6.226570676036891
5270,2,4.56000591818734
5297,0,1.9080896215570151
5331,0,1.886285583375119
5343,0,3.397595189877189
5352,2,11.475254978642734
5353,0,3.7709417802559404
5373,2,15.736937092024998
5424,0,3.5428226883163996
5438,0,1.5910496018310323
5451,0,6.470964494825614
5465,0,4.246720462371586
5472,2,15.851739748373266
5489,2,27.935927193938344
5494,0,4.1977875027940454
5541,0,5.4782919150112335
5544,0,4.213053642337458
5546,0,7.963649711136973
5582,0,4.917386474552559
5584,2,8.525117616717873
5587,0,4.016489016216042
5618,2,13.375511410771507
5629,0,5.130138291799541
5651,2,14.532857131389292
5655,2,7.587089971810692
5660,0,3.58804931732542
5685,0,3.365718714889053
5696,2,5.891255018006662
5717,0,3.19569349567604
5778,2,21.89671827452563
5799,0,1.303763648191353
5804,0,2.593056942617276
5805,1,18.595632264754432
5820,0,3.027210146171303
5846,0,4.4618538095669145
5873,0,9.249054444020382
5874,0,3.3715756683970843
5880,0,4.630155126408922
5926,0,2.762080536365212
5946,0,5.351988331067515
5965,0,3.8225180760992457
5976,0,1.5500674425289815
6009,0,4.886821906116088
6017,0,3.799652873199762
6043,0,1.6201706664176783
6058,2,20.761989564008378
6063,0,1.147360335390698
6097,0,0.9207887949865456
6127,0,9.71080090983037
6130,2,17.225900481934655
6153,0,3.586111315457714
6158,0,5.929512305969115
6172,0,1.6287828154150967
6215,0,3.5730270615521276
6217,2,18.792778812434396
6220,2,5.3762621167410245
6227,0,3.0487161043861737
6232,0,7.503053773901945
6233,0,1.1014541587455748
6244,0,8.619928176652738
6246,0,4.6193435713895585
6284,0,0.07686238619492583
6285,0,1.5444116842809346
6289,0,3.3965823513197235
6339,0,3.551231936669979
6353,0,7.048339573794257
6354,0,5.093675547274971
