household_id,cluster,mae_global,mae_cluster,improvement
2453,1,2.050550316858631,2.0487829225878422,0.00176739427078898
2466,1,1.6325377299679893,1.6137636115762117,0.01877411839177756
2467,3,40.64851397059482,42.506712703778746,-1.8581987331839258
2495,3,16.873639958399114,17.200582478629226,-0.32694252023011217
2497,1,1.0398560783099684,1.0287326626615856,0.011123415648382817
2506,1,10.65850689316672,10.493629472342757,0.16487742082396295
2516,1,5.845301602558275,5.752625457681687,0.09267614487658804
2537,1,2.300441250311927,2.2398745588814277,0.0605666914304992
2550,1,1.004632430698212,1.0708198362919876,-0.06618740559377567
2551,1,7.116695757774835,7.066071140006888,0.05062461776794702
2586,1,6.291274900686926,6.697441271819785,-0.4061663711328585
2596,1,1.1888272923457839,1.207436674060337,-0.018609381714553175
2599,1,11.446345160040897,11.42689200201665,0.01945315802424652
2609,1,3.9255109221644258,3.6222303125145965,0.3032806096498293
2614,1,1.3482628477727177,1.4322155990683278,-0.0839527512956102
2615,1,1.367110840590438,1.3626392720534801,0.004471568536957848
2621,1,2.7822668292109864,2.5646170239367634,0.21764980527422306
2641,1,8.352766116899897,8.313057219936951,0.03970889696294577
2678,1,1.4653642931993986,1.4151370290332108,0.050227264166187835
2693,1,2.290177388093996,2.246570989288028,0.04360639880596784
2699,1,0.6447354660581457,0.6389346082001146,0.005800857858031083
2748,1,1.68413355495648,1.6516616183138202,0.03247193664265979
2751,3,12.485651040989412,12.350475431566153,0.1351756094232588
2752,1,0.8046675824005528,0.7818719371354538,0.02279564526509903
2764,1,1.4975594354640445,1.5821895605060454,-0.08463012504200096
2792,1,1.3602588780160298,1.2576852786176198,0.10257359939841004
2846,0,0.7846863250278457,0.735889653151953,0.04879667187589276
2850,1,2.904164535195376,2.8079668474317274,0.09619768776364879
2865,1,2.497136701523913,2.8498503820798704,-0.3527136805559574
2868,1,1.9189457789751256,2.02066146585505,-0.1017156868799245
2874,1,1.1636481652867376,1.1666963454783292,-0.0030481801915915874
2935,3,10.500934393529207,10.571391011625428,-0.07045661809622139
2938,1,0.18904521381697562,0.07579429175651282,0.11325092206046279
2944,1,9.765309188231704,8.721926531137857,1.0433826570938471
2947,3,21.852431174377042,22.446739043668188,-0.5943078692911463
2960,1,8.87346618959526,8.982701126054758,-0.10923493645949911
2989,1,3.105998022107502,3.111100446002164,-0.005102423894661978
3007,1,2.5995862051556458,2.2134653602258836,0.3861208449297622
3036,3,16.92156598347506,16.502971139569507,0.41859484390555224
3052,1,3.8618586830165293,4.024525635489763,-0.16266695247323337
3062,3,14.36163419462133,13.797863918704579,0.5637702759167507
3073,1,3.950498964033374,3.9118811126045006,0.03861785142887353
3074,1,4.562021502415313,4.571036862724764,-0.009015360309451381
3080,1,1.911576205410052,1.8670855314834354,0.04449067392661665
3085,1,1.0778314816257326,1.0484518726793746,0.02937960894635805
3124,1,3.6770724358076543,3.6037356287483377,0.07333680705931656
3134,3,28.126544587586388,27.915161784107724,0.21138280347866356
3135,3,22.959342687745078,21.82265489214225,1.1366877956028283
3137,1,2.0418600070408823,2.0112082012784054,0.030651805762476947
3150,1,3.3659422951937965,3.3422811301752517,0.02366116501854476
3205,3,6.276583121950455,6.535676144378812,-0.25909302242835697
3219,1,2.829732443540859,2.7702639116858485,0.059468531855010553
3220,1,0.20322972895960167,0.17315495483029467,0.030074774129307008
3230,1,4.469352664661743,4.396846596700079,0.07250606796166448
3258,1,2.269726189858737,2.0404650450752384,0.22926114478349868
3267,3,17.484313065707518,17.44151767859293,0.04279538711458741
3289,1,1.3047014903701801,1.3043947530679916,0.00030673730218855333
3294,1,7.554089481214382,7.884227947200893,-0.33013846598651053
3310,1,0.9919025684157249,1.1136258736130666,-0.12172330519734176
3313,1,0.9021529454030296,0.9156589951040167,-0.013506049700987122
3366,1,0.7923132226847289,0.7655707786085115,0.026742444076217398
3367,1,1.3296381729323812,1.191310546669576,0.13832762626280526
3377,1,1.674647670701735,1.6020974492272326,0.07255022147450241
3386,1,1.3112957964997616,1.3092056009614061,0.0020901955383554327
3387,1,2.2592621322028994,2.29237028816498,-0.0331081559620805
3405,1,6.605211819009896,5.976336719466025,0.6288750995438708
3410,1,3.7469272001631397,3.760746363952091,-0.013819163788951094
3427,3,19.840985493145933,21.17733691690747,-1.3363514237615384
3433,1,1.5607200469054603,1.5138753963665612,0.04684465053889908
3447,1,1.469961134979214,1.4025694170685812,0.06739171791063292
3454,1,1.2337764321198197,1.395363136028471,-0.16158670390865137
3456,1,3.6736392919598337,3.669641336211425,0.003997955748408888
3467,1,2.257903347333291,2.425735620413517,-0.1678322730802262
3487,1,1.0130605437911269,1.002536074568689,0.010524469222437771
3506,1,4.348298393407495,4.4444501805646714,-0.09615178715717665
3546,3,17.37649288030639,16.71188212989579,0.6646107504105991
3614,1,3.678345432952337,3.2994245356383787,0.37892089731395817
3657,1,0.9734276779825237,1.01156825069761,-0.03814057271508631
3658,1,0.9439908534117479,0.9490656959656822,-0.005074842553934311
3660,3,14.122287786230684,14.371533986928481,-0.24924620069779735
3691,1,3.4361208503523746,3.218284258621007,0.2178365917313676
3719,1,1.5757475911253946,1.5443865453505794,0.031361045774815244
3732,1,1.1141382014551928,1.1160320255865464,-0.0018938241313535276
3747,1,4.918586879593513,4.946293542164125,-0.02770666257061194
3770,3,37.822211641405815,39.72467731977541,-1.9024656783695946
3787,1,2.2697973387560446,2.3042616838344374,-0.0344643450783928
3793,1,3.3705140734779966,3.468982261287895,-0.0984681878098983
3823,1,2.2795097078917754,2.2212836637381175,0.05822604415365795
3863,1,0.5389562078975152,0.5673012544287593,-0.028345046531244145
3884,1,1.3113266168160937,1.206685258980883,0.10464135783521078
3895,1,2.99870442347787,2.8237612129488245,0.1749432105290456
3901,1,10.683027250418034,10.587782993675715,0.09524425674231907
3908,1,1.2751159478097902,1.272773888789191,0.002342059020599141
3914,1,2.964178755137447,2.9523361363056133,0.011842618831833907
3961,1,1.1772004886248486,1.1865977782487414,-0.009397289623892746
3966,1,1.3177808075417063,1.2576221284434552,0.06015867909825112
3969,1,1.2447641046709224,1.1268190369879763,0.1179450676829461
3976,1,8.260624105066961,7.25456944662583,1.0060546584411316
3979,1,1.3324842450573364,1.3440917312765683,-0.01160748621923191
4064,1,2.420401700751193,2.314006903304266,0.10639479744692704
4069,1,1.2284799839411453,1.3204382257808134,-0.09195824183966805
4107,1,9.964557886246341,9.410604771732148,0.5539531145141936
4141,1,1.427855050002645,1.1768806770593985,0.25097437294324654
4158,1,0.9356521006398862,0.9730817188668863,-0.03742961822700008
4161,1,3.1762675604762056,3.127900273290941,0.04836728718526473
4167,1,1.889202088122137,1.8188009308401292,0.0704011572820078
4172,1,3.254822534492142,3.1958827082126398,0.05893982627950223
4178,1,13.526618321819042,12.658685620917641,0.8679327009014006
4189,3,22.55115609272579,24.07534752309334,-1.524191430367548
4190,1,14.343128219542923,11.639395147086883,2.703733072456039
4202,1,1.418908315350863,1.4580932205495178,-0.03918490519865481
4205,1,5.6085426398523595,4.925944850100021,0.6825977897523385
4213,1,3.4247502448016944,3.4123284104046823,0.012421834397012166
4268,1,1.1156038226936875,1.1196362159584314,-0.0040323932647439165
4294,1,2.7624771985161103,2.78857756650493,-0.026100367988819873
4295,1,2.830456849588542,2.836114097379524,-0.0056572477909817565
4352,3,20.093883003271966,21.621798946516293,-1.5279159432443272
4355,1,1.3747532975030183,1.300021597481744,0.07473170002127438
4370,1,1.4956774846401555,1.6040174774375855,-0.10833999279743001
4376,1,0.5218693064575858,0.5499269474555804,-0.02805764099799457
4383,1,3.5373941554103485,3.5812815972119028,-0.04388744180155424
4394,1,3.5978214478098,3.3363271527606835,0.2614942950491166
4400,1,4.57329864312245,4.5801410463340595,-0.006842403211609671
4405,3,5.232062763420649,5.4259978909064985,-0.19393512748584918
4438,2,0.34031419494542137,0.33976445332385974,0.000549741621561628
4445,1,0.2930426338848076,0.2896668893472189,0.0033757445375887096
4448,1,3.9752795577812194,4.179161539075803,-0.2038819812945838
4477,1,4.874572872891472,4.8791400887922185,-0.004567215900746824
4488,1,0.8724201497632458,0.8714053059256058,0.001014843837639945
4529,1,2.2147452131147594,2.1471783337649746,0.06756687934978478
4533,1,3.547570958450907,3.4365832774123763,0.11098768103853063
4563,1,2.6332527627953084,2.783897558074222,-0.1506447952789136
4564,1,5.796101623382007,5.892692675054739,-0.09659105167273196
4573,1,3.5468506502353376,3.616161832054026,-0.06931118181868845
4578,1,6.891950073321088,7.017290704659673,-0.12534063133858453
4671,1,5.803411276385797,5.45142591973487,0.35198535665092656
4672,1,1.2700731812906634,1.1713908029826363,0.09868237830802706
4702,1,1.3188511222245618,1.163221628827454,0.15562949339710785
4735,1,6.629022615371699,6.344056436107123,0.28496617926457635
4744,1,1.1612792444547657,1.0507008682750252,0.11057837617974053
4754,1,1.9713174858952152,1.9900061094787507,-0.018688623583535513
4756,1,1.3826110654241461,1.354992850922793,0.027618214501353044
4758,1,3.304261599363649,3.262278364603245,0.041983234760403665
4780,3,33.56025679743233,57.29134730315047,-23.731090505718136
