household_id,mean,cv,skewness,kurtosis,weekend_ratio,summer_peak,winter_peak,trend_slope,seasonal_strength_weekly,n_peaks,peak_height_ratio,zero_percentage,avg_zero_run,cluster
46249,12.566863013698628,0.2391265458162452,0.7891886979271104,2.3428941162480257,1.0639244412363134,11.803467391304343,13.379186813186816,-5.86558512227167e-05,0.21041024855914578,19,2.0654319197803317,0.0,0.0,0
46254,7.446816438356165,0.3447376408578195,0.09274091464725562,0.6659647791487076,1.0232137186573165,6.646336956521739,7.885351648351651,0.002347809724522,0.49618636234939795,19,2.1499119969625706,0.0,0.0,0
46281,13.133846575342464,0.231486202766188,1.568955020091784,7.674492909427773,1.0455541298958468,12.37909782608696,14.779956043956041,0.0020979188002654,0.25302169952335113,19,2.696544367016601,0.0,0.0,0
46300,5.56101095890411,0.4378185243013454,1.2055692208299507,1.8916992978324583,0.9130183768786873,4.8082391304347825,6.188417582417583,0.0007657894542017,0.2253584026096817,19,2.8347363665520553,0.0,0.0,0
46310,2.8815205479452057,2.3999238525973836,4.624257374107489,23.18135684990536,1.6617294494771748,0.8926086956521742,6.774032967032965,-0.0092661023683256,0.3673513332158182,19,17.93948685768073,0.0,0.0,0
46311,5.267090410958905,0.3883735413625591,1.211227982380519,3.0340998025509833,1.0412070019671436,6.287021739130433,4.890296703296705,0.0038068747331715,0.4576627793157594,19,2.8182542621852513,0.0,0.0,0
46377,5.833624657534246,0.5105906367590678,1.034463917746629,1.8130277699586266,1.0581984348198972,6.659902173913044,5.4886923076923075,0.0065842084481877,0.2924349432196462,19,3.3697745662486684,0.0,0.0,0
46407,7.842553424657534,0.3005861019147121,1.4086114486626446,3.5922250841410044,1.015572869695491,8.881076086956522,8.117626373626372,0.0006126725284596,0.387192546387586,19,2.466161076976607,0.0,0.0,0
46410,6.62294794520548,0.5279148166865585,1.256492832445953,2.11671316420066,0.9824566938432436,4.925097826086955,8.610967032967034,6.324912455392754e-07,0.45354627734039016,19,3.2622934950955087,0.0,0.0,0
46414,5.111386301369863,0.4021943068150027,0.486463591417807,0.355567463554721,0.8617197014239711,4.038923913043479,5.646527472527473,0.0046566961895055,0.32762116611236064,19,2.627271587044986,0.0,0.0,0
46422,35.87144619434522,0.8661151560521094,2.341978897484433,7.606666389503292,1.0334356525619477,13.854347826086961,73.35289957072531,0.010244300846708,0.8043697333195319,19,5.339173109953817,0.0,0.0,0
46438,7.774279452054794,0.331031586757736,0.7326463038954558,0.35329219459391403,1.0121668012672862,7.8327934782608715,7.946571428571429,0.0078390710793809,0.3167415982274192,19,2.096785959461688,0.0,0.0,0
46474,14.027986301369864,0.2641110170680447,-0.023844812436686895,-0.1472450884367431,0.984579967700868,16.015934782608692,13.027725274725281,0.0074303283624078,0.5418502955267135,19,1.8275609520303344,0.0,0.0,0
46500,7.417876712328767,0.958259650695916,0.7706195067180658,-0.8132971234080815,0.9767323004644396,1.9878043478260867,16.003714285714285,-0.0019485912694985,0.8250538454120893,19,3.42402563226563,0.0,0.0,0
46503,6.397931506849314,1.030372446047199,0.3264388650780688,-1.4863922418591513,0.9668301219643306,0.0,15.207516483516484,-0.0258494081036861,0.9839304062403718,19,3.0731807583358495,46.57534246575342,170.0,0
46561,3.138490410958904,0.2056884893286984,1.2980902478781269,2.6650467338770056,1.0666012800950957,3.143043478260869,3.1955714285714287,-0.0005050712817387,0.0906466816731425,19,2.014344213996957,0.0,0.0,0
46607,2.2942164383561643,0.2093991790140747,1.0824006771471268,4.832442000402886,0.9786923560014056,2.0741521739130433,2.519582417582418,-0.0015551513611024,0.3639609514932301,19,2.284440086984663,0.0,0.0,0
46612,3.268854794520548,0.3469088928874118,1.957375612637898,5.842931904280675,1.0747487323842002,3.142695652173913,3.245560439560439,0.0022549855264878,0.23241221537321666,19,3.1934731446311053,0.0,0.0,0
46663,9.777164383561644,0.298977733592312,0.1226530277283664,0.050922399147593556,1.078151859755926,9.881565217391305,9.333989010989011,0.0043886455112369,0.3026161541305586,19,1.9240752494280076,0.0,0.0,0
46739,3.0561808219178084,0.4548316984797434,0.4444894973838911,-0.33168400738988835,0.9601930329848948,2.736021739130434,3.376274725274725,-0.001133666647747,0.13767521714342867,19,2.620263808531733,0.273972602739726,1.0,0
46757,5.315301369863013,0.220395859959867,0.5042199092072477,0.3423531133628104,0.9933505633836388,4.898619565217392,5.761967032967034,0.0022831648252937,0.29628834135765025,19,1.7285943657107812,0.0,0.0,0
46758,13.186065753424655,0.8334029934953222,2.0992180836011967,4.181114998193581,1.1354009621859753,9.978793478260869,20.231714285714283,0.0531896153475987,0.886989994258929,19,4.4140535234994855,0.273972602739726,1.0,0
46760,2.79846301369863,0.4047079801986571,0.6439490288983148,0.7591660637797024,1.0650895860583534,2.52970652173913,3.012483516483516,-0.0010903709809166,0.3349319767724143,19,2.6110761386631998,0.0,0.0,0
46773,3.917668493150685,0.386489873579055,0.7729914689151509,0.516165441137435,1.0714317969487728,3.4968913043478254,4.4400109890109904,0.0013283722789673,0.22838466471047478,19,2.594144966009277,0.0,0.0,0
46787,2.423427397260274,0.7124273644656551,1.2789657682881748,1.086161843391591,1.3385587630229636,2.2394673913043484,2.384340659340659,0.0028759934653264,0.16214143780777104,19,3.3819870194030646,0.0,0.0,0
46833,7.552284931506849,1.1292527208271443,3.5525263210147786,14.0871628199605,0.9431849384095462,7.536076086956519,4.654054945054947,-0.0025189204462728,0.655955231266523,19,7.7077335571852705,0.0,0.0,0
46850,2.0471534246575342,0.3542666909846231,1.3697646300672157,2.79507507645049,1.0885196980328953,1.8233586956521732,2.687153846153846,-0.0008748022693677,0.6096913760636234,19,2.792169815487192,0.0,0.0,0
46858,7.814038356164383,0.3371690950585417,0.7481380698452305,0.9651628748239309,1.0428116590228558,6.880521739130431,8.737890109890115,-0.00391456531342,0.33456247550859985,19,2.3615189942653263,0.0,0.0,0
46867,14.081619178082189,0.2484949945335033,0.5886487808411069,-0.02368146042283703,1.0544831555081091,15.207989130434783,13.854560439560439,0.0081659155576065,0.31891493753410743,19,1.741987174186655,0.0,0.0,0
46891,0.6656328767123288,1.030372229360212,1.7097781353979276,3.751184116791701,0.8905579399141632,0.4539565217391305,0.7009010989010989,-0.0009547088886859,0.2579218215872099,19,6.921232651179637,24.383561643835616,3.0689655172413794,0
46918,12.58865205479452,0.9360187279090983,1.9813773283303306,2.543005567453945,0.9580043665830312,25.841369565217395,9.193131868131868,0.0064121197464111,0.8884808370129688,19,3.9356080209660447,0.0,0.0,0
46936,6.206898630136986,0.441873178552661,0.0560094032710356,-0.5234249964857085,0.9465864130491184,6.363695652173912,7.103703296703297,0.0017917578715916,0.3861487083961273,19,2.2695714622439547,0.0,0.0,0
