ID,cluster
10061,0
10081,0
10108,0
10111,0
10115,0
10152,0
10161,0
10177,0
10178,0
10180,2
10190,0
10204,0
10216,0
10241,0
10257,2
10268,0
10290,0
10293,0
10349,0
10426,0
10441,0
10447,2
10452,0
10498,0
10500,0
10521,0
10538,0
10541,0
10554,0
10569,0
10597,0
10613,0
10629,2
10634,0
10640,2
10651,0
10664,0
10671,0
10685,0
10687,2
10689,0
10692,0
10698,0
10701,2
10703,2
10712,0
10730,0
10738,2
10741,0
10770,2
10830,0
10838,0
10840,0
10858,2
10873,0
10880,0
10891,0
10908,0
10924,0
10931,2
10938,0
10982,0
10989,0
10990,0
10996,0
10999,0
11024,0
11026,0
11049,2
11053,0
11077,0
11094,0
11098,0
11103,0
11106,0
11109,0
11116,0
11134,0
11144,0
11174,0
11195,0
11215,0
11217,2
11231,0
11245,0
11284,0
11290,0
11291,2
11301,0
11315,2
11338,0
11346,0
11350,0
11368,0
11409,0
11424,0
11428,0
11447,0
11472,0
11486,2
11536,0
11575,2
11608,0
11625,2
11628,0
11656,0
11667,0
11694,0
11695,0
11699,0
11700,2
11701,0
11705,0
11714,2
11717,0
11761,0
11772,0
11793,2
11800,0
11817,0
11886,0
11899,2
11923,0
11935,0
11936,0
11983,0
12015,0
12016,0
12070,0
12083,0
12101,2
12128,0
12138,0
12195,0
12207,2
12215,0
12243,0
12303,0
12308,0
12316,0
12321,2
12329,0
12360,2
12362,0
12371,0
12389,0
12406,0
12416,0
12454,0
12491,2
12514,0
12583,0
12591,0
12594,0
12615,0
12619,0
12634,0
12697,0
12702,0
12710,0
12730,0
12750,0
12765,2
12777,0
12778,0
12782,0
12814,0
12817,0
12823,0
12837,0
12842,0
12886,0
12905,2
12927,2
12930,0
12931,0
12936,0
12939,0
12955,0
12978,2
12989,0
12999,0
13013,2
13022,0
13025,0
13071,0
13080,0
13102,2
13109,0
13135,0
13142,0
13152,0
13161,0
13173,0
13251,0
13256,0
13271,0
13272,0
13287,0
13299,2
13325,0
13331,0
13334,2
13361,0
13367,0
13401,0
13425,0
13433,0
13440,2
13450,2
13466,0
13473,0
13484,0
13498,0
13510,0
13550,0
13551,0
13593,0
13641,2
13655,0
13680,0
13686,2
13687,0
13695,0
13709,0
13731,2
13734,0
13759,2
13770,0
13786,0
13855,2
13862,0
13879,0
13911,0
13921,0
13930,0
13935,0
13938,0
13952,0
13960,0
14023,0
14054,0
14059,0
14088,0
14153,0
14168,0
14170,0
14177,0
14201,0
14202,0
14212,0
14215,0
14237,0
14279,1
14282,0
14301,0
14323,0
14324,0
14341,0
14351,1
14352,0
14383,0
14384,0
14408,0
14437,0
14440,0
14445,0
14449,0
14457,0
14471,0
14474,1
14479,0
14482,0
14492,0
14498,0
14611,0
14618,0
14645,2
14665,0
14706,2
14708,0
14719,0
14734,0
14740,0
14743,0
14748,0
14751,2
14796,0
14798,0
14853,0
14880,0
14915,0
14917,2
14940,0
14948,0
14951,0
14955,0
14969,0
14970,2
14996,0
15001,0
15015,0
15027,0
15052,0
15071,0
15127,0
15145,0
15154,0
15159,2
15162,0
15202,0
15227,0
15233,0
15251,2
15253,0
15263,2
15299,0
15357,0
15366,0
15405,0
15409,2
15421,0
15451,0
15457,0
15459,0
15478,0
15528,0
15546,0
15551,0
15570,0
15585,0
15601,0
15625,0
15635,0
15655,0
15667,0
15725,0
15731,0
15733,0
15747,2
15749,0
15787,0
15798,0
15819,0
15867,0
15911,0
15923,0
15952,0
15957,2
15966,0
16006,0
16014,0
16017,2
16042,0
16059,0
16089,2
16119,0
16120,0
16159,0
16168,2
16170,0
16173,0
16182,0
16187,2
16212,0
16216,0
16242,0
16274,0
16301,0
16386,0
16396,0
16440,0
16467,0
16470,0
16476,2
16528,0
16535,2
16569,0
16570,0
16630,0
16679,2
16690,0
16708,0
16716,0
16764,0
16775,0
16791,0
16798,0
16817,0
16851,0
16879,0
16917,0
16918,0
16921,0
16957,0
16959,0
16987,0
17008,0
17014,0
17024,0
17035,0
17058,2
17066,2
17072,1
17074,0
17100,2
17129,0
17137,1
17162,0
17174,0
17221,0
17262,0
17295,0
17299,0
17306,0
17377,0
17384,2
17386,0
17416,0
17430,0
17446,0
17465,0
17474,0
17505,0
17514,0
17570,0
17572,2
17577,0
17601,0
17610,0
17616,2
17678,0
17698,0
17702,0
17706,0
17751,0
17770,2
17807,0
17818,2
17844,0
17854,2
17870,0
17906,0
17916,2
17918,2
17919,0
